,Unnamed: 0,Country,Continents,Unit,Country_Code,Weight,Type,Type of Coffee,Date,Price,unit_price(/kg)
0,0,Burundi,Africa,kg,BIF,1,P,Arabica,Jan-1963,20.0,20.0
1,1,Cameroon,Africa,kg,XAF,1,G,Robusta,Jan-1963,90.3,90.3
2,2,Côte d'Ivoire,Africa,kg,XAF,1,G,Robusta,Jan-1963,80.0,80.0
5,5,Kenya,Africa,kg,KES,50,G,Arabica,Jan-1963,274.0,5.48
6,6,Madagascar,Africa,kg,MGF,1,G,Robusta,Jan-1963,83.0,83.0
7,7,Togo,Africa,kg,XAF,1,G,Robusta,Jan-1963,65.0,65.0
8,8,Costa Rica,Central America & Mexico,SQ,CRC,1,G,Arabica,Jan-1963,229.22,4.99
11,11,Colombia,South America,kg,COP,125,P,Arabica,Jan-1963,555.52,4.44
540,540,Burundi,Africa,kg,BIF,1,P,Arabica,Feb-1963,20.0,20.0
541,541,Cameroon,Africa,kg,XAF,1,G,Robusta,Feb-1963,90.3,90.3
542,542,Côte d'Ivoire,Africa,kg,XAF,1,G,Robusta,Feb-1963,80.0,80.0
545,545,Kenya,Africa,kg,KES,50,G,Arabica,Feb-1963,274.0,5.48
546,546,Madagascar,Africa,kg,MGF,1,G,Robusta,Feb-1963,83.0,83.0
547,547,Togo,Africa,kg,XAF,1,G,Robusta,Feb-1963,65.0,65.0
548,548,Costa Rica,Central America & Mexico,SQ,CRC,1,G,Arabica,Feb-1963,229.22,4.99
551,551,Colombia,South America,kg,COP,125,P,Arabica,Feb-1963,555.52,4.44
1080,1080,Burundi,Africa,kg,BIF,1,P,Arabica,Mar-1963,20.0,20.0
1081,1081,Cameroon,Africa,kg,XAF,1,G,Robusta,Mar-1963,90.3,90.3
1082,1082,Côte d'Ivoire,Africa,kg,XAF,1,G,Robusta,Mar-1963,80.0,80.0
1085,1085,Kenya,Africa,kg,KES,50,G,Arabica,Mar-1963,274.0,5.48
1086,1086,Madagascar,Africa,kg,MGF,1,G,Robusta,Mar-1963,83.0,83.0
